kp,ki,kd,SetPoint
8.0,0.63,0.45,15.0

Trial Duration,Max Servo Angle,Min Servo Angle,Final Error,Max Distance,Min Distance,Average Error,Max Deviation
9.719999999999999,130.0,0.0,0.0,31.0,3.0,4.283168316831683,16.0

Time,Distance,Error,Servo Angle,P Term,I Term,D Term,PID Output
0.09999999999999964,29.4,14.4,0.0,115.2,-28.74,10.0,96.46
0.1999999999999993,27.0,12.0,7.0,96.0,-27.99,-10.8,57.21
0.29999999999999893,27.6,12.6,0.0,100.8,-27.21,2.73,76.31
0.3899999999999988,27.4,12.4,0.0,99.2,-26.45,-0.91,71.84
0.48999999999999844,26.6,11.6,1.0,92.8,-25.73,-3.64,63.43
0.5899999999999999,27.2,12.2,0.0,97.6,-24.97,2.73,75.35
0.6899999999999995,27.0,12.0,0.0,96.0,-24.23,-0.91,70.86
0.7899999999999991,25.6,10.6,10.0,84.8,-23.58,-6.36,54.86
0.8899999999999988,22.8,7.8,38.0,62.4,-23.1,-12.86,26.44
0.9799999999999986,15.4,0.4,119.0,3.2,-23.07,-35.05,-54.93
1.08,11.6,-3.4,130.0,-27.2,-23.27,-18.19,-68.67
1.1799999999999997,9.4,-5.6,130.0,-44.8,-23.62,-10.1,-78.52
1.2699999999999996,6.8,-8.2,130.0,-65.6,-24.1,-12.32,-102.02
1.3699999999999992,4.2,-10.8,130.0,-86.4,-24.75,-12.19,-123.34
1.459999999999999,3.0,-12.0,130.0,-96.0,-25.47,-5.62,-127.1
1.5599999999999987,3.0,-12.0,130.0,-96.0,-26.19,0.0,-122.19
1.6499999999999986,3.0,-12.0,130.0,-96.0,-26.89,0.0,-122.89
1.75,4.0,-11.0,130.0,-88.0,-27.54,4.74,-110.81
1.8399999999999999,4.8,-10.2,130.0,-81.6,-28.14,3.83,-105.91
1.9399999999999995,7.2,-7.8,130.0,-62.4,-28.61,11.25,-79.76
2.0299999999999994,8.4,-6.6,130.0,-52.8,-29.0,5.68,-76.12
2.129999999999999,9.6,-5.4,130.0,-43.2,-29.32,5.81,-66.71
2.219999999999999,10.2,-4.8,130.0,-38.4,-29.6,2.87,-65.13
2.3099999999999987,12.4,-2.6,105.0,-20.8,-29.75,10.31,-40.24
2.41,14.4,-0.6,90.0,-4.8,-29.79,9.18,-25.41
2.51,21.4,6.4,10.0,51.2,-29.4,32.47,54.27
2.6099999999999994,27.8,12.8,0.0,102.4,-28.61,29.09,102.88
2.709999999999999,23.4,8.4,45.0,67.2,-28.09,-20.0,19.11
2.8099999999999987,31.0,16.0,0.0,128.0,-27.09,34.2,135.11
2.91,27.4,12.4,8.0,99.2,-26.32,-16.36,56.51
3.01,29.0,14.0,0.0,112.0,-25.45,7.2,93.75
3.0999999999999996,24.8,9.8,30.0,78.4,-24.85,-19.29,34.27
3.1999999999999993,28.0,13.0,0.0,104.0,-24.04,14.55,94.5
